City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Sao Joao Da Barra,BR,71.55,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
185,Kieta,PG,78.6,light rain,-6.2167,155.6333,Uruna Bay Retreat
186,Nabire,ID,80.46,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
187,Ulladulla,AU,77.0,scattered clouds,-35.35,150.4667,Sandpiper Motel
188,Kiama,AU,79.0,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
189,Lazaro Cardenas,MX,78.39,clear sky,17.9583,-102.2,Hotel Quinta Antigua
192,Upington,ZA,71.6,few clouds,-28.4478,21.2561,River Place Manor
193,Keti Bandar,PK,79.18,clear sky,24.1447,67.4497,Haji laloo memon house
194,Harper,LR,79.72,light rain,4.375,-7.7169,Screensaver
195,Grants,US,60.8,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
196,Port Elizabeth,ZA,64.4,mist,-33.918,25.5701,39 On Nile Guest House
197,Las Palmas,ES,62.6,clear sky,28.4204,-14.0131,Casillas De Morales 59.
198,Talbahat,IN,76.84,clear sky,25.05,78.4333,PWD Guest House
202,Namatanai,PG,78.71,moderate rain,-3.6667,152.4333,Namatanai Hotel
206,Mahibadhoo,MV,81.86,few clouds,3.7833,72.9667,Omadhoo Inn
208,Chicama,PE,68.0,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
210,Gushikawa,JP,73.4,clear sky,26.3544,127.8686,Kirari Guest House
212,Dong Hoi,VN,77.7,overcast clouds,17.4833,106.6,Nam Long Hotel
222,Suez,EG,63.79,clear sky,29.9737,32.5263,Green House
225,Moussoro,TD,84.24,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
227,Lorengau,PG,81.59,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
230,Behshahr,IR,63.12,few clouds,36.6923,53.5526,Abbas Abad Hotel & Restaurant
231,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
232,Pisco,PE,70.0,moderate rain,-13.7,-76.2167,Hotel San Isidro Oficial
234,Faya,SA,60.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
235,Flinders,AU,79.0,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
236,Kalangala,UG,73.24,light rain,-0.3089,32.225,Ssese Habitat Resort
237,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
238,Bonthe,SL,79.18,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
239,Havelock,US,69.8,clear sky,34.8791,-76.9013,Sherwood Motel
240,Carmelo,UY,78.01,clear sky,-33.9892,-58.2856,Los Muelles Boutique Hotel
243,Hervey Bay,AU,81.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
244,Dhidhdhoo,MV,82.38,few clouds,6.8833,73.1,Dhidhoo beach
247,Valparaiso,CL,62.01,clear sky,-33.0393,-71.6273,Hotel Ultramar
248,Zinder,NE,82.94,overcast clouds,13.8072,8.9881,Hotel de Ville
249,Nepomuceno,BR,61.18,clear sky,-21.2358,-45.2358,Hotel Menezes
251,Salta,AR,68.0,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
252,Dayong,CN,68.0,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
254,Hasaki,JP,60.8,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
256,Monte Alegre De Minas,BR,69.84,overcast clouds,-18.8706,-48.8808,Hotel Via Hotel
258,Ballina,AU,71.6,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
261,Abong Mbang,CM,69.66,light rain,3.9833,13.1833,Auberge Angle Sur
262,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
263,Los Llanos De Aridane,ES,68.0,scattered clouds,28.6585,-17.9182,Valle Aridane
267,Nara,JP,61.0,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
268,Jacareacanga,BR,75.69,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
271,Comodoro Rivadavia,AR,62.6,clear sky,-45.8667,-67.5,Austral Hotel
275,Imbituba,BR,73.4,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
278,Huicungo,PE,72.45,overcast clouds,-7.2833,-76.8,Gran Pajaten Trek
279,Shreveport,US,69.8,clear sky,32.5251,-93.7502,Eldorado Resort Casino Shreveport
280,Alice Springs,AU,82.4,clear sky,-23.7,133.8833,Desert Palms Alice Springs
281,Coahuayana,MX,75.6,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
285,Atar,MR,78.89,clear sky,20.5169,-13.0499,Oumou Elghoura
288,Meulaboh,ID,77.29,broken clouds,4.1363,96.1285,Kost Pria
289,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
290,Susanville,US,62.6,clear sky,40.4163,-120.65299999999999,Red Lion Inn & Suites Susanville
291,Lufilufi,WS,84.2,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
294,Coxim,BR,71.11,overcast clouds,-18.5067,-54.76,Hotel Avenida
297,Breves,BR,76.66,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
301,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,Poutur Pousada
303,Faanui,PF,81.36,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
304,Caravelas,BR,73.76,light rain,-17.7125,-39.2481,Pousada dos Navegantes
305,Manicore,BR,74.01,overcast clouds,-5.8092,-61.3003,Hotel Durval
315,Carutapera,BR,77.61,overcast clouds,-1.195,-46.02,Lidera
316,Mogadishu,SO,81.18,few clouds,2.0371,45.3438,Olympic Hotel
317,Kiunga,PG,72.93,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
319,Gunjur,GM,71.6,clear sky,13.2019,-16.7339,Kuba Lodge
323,Altamira,BR,76.33,overcast clouds,-3.2033,-52.2064,Requinte Hotel
324,Itarema,BR,80.58,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
326,Ponta Delgada,PT,60.8,broken clouds,37.7333,-25.6667,Vila Nova Hotel
328,Tuy Hoa,VN,80.62,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
329,Weligama,LK,75.33,clear sky,5.9667,80.4167,Weligama Bay Resort
330,Savannakhet,LA,82.4,mist,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
334,Port Lincoln,AU,79.86,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
335,Port Blair,IN,81.66,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
336,Ponta Do Sol,PT,62.01,overcast clouds,32.6667,-17.1,Hotel do Campo
337,Wewak,PG,77.38,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
339,Oussouye,SN,75.2,clear sky,12.485,-16.5469,Auberge du Routard
340,Tezu,IN,77.83,overcast clouds,27.9167,96.1667,Circuit House
341,Marawi,PH,81.0,broken clouds,7.9986,124.2928,Derogongan Residence
345,East London,ZA,65.59,clear sky,-33.0153,27.9116,Tu Casa
348,Vao,NC,76.42,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
349,Walker,US,70.0,mist,30.7335,-95.5669,Holiday Inn Express & Suites Huntsville
352,Nileshwar,IN,80.46,overcast clouds,12.25,75.1,Neeleshwar Hermitage
353,Oranjestad,AW,80.6,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
354,Rio Grande,BR,72.0,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
356,Cap Malheureux,MU,80.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
363,Makakilo City,US,78.8,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
367,Seagoville,US,72.0,clear sky,32.6396,-96.5383,Seagoville Inn Seagoville
368,Hamilton,US,73.4,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
371,Xai-Xai,MZ,69.26,overcast clouds,-25.0519,33.6442,Complexo da Familia
377,Te Anau,NZ,62.71,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
378,Roura,GF,75.99,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
379,Faro,PT,64.4,broken clouds,37.0194,-7.9322,Hotel Faro & Beach Club
380,Okato,NZ,68.0,broken clouds,-39.2,173.8833,Goodin Country Garden
381,Yulara,AU,84.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
382,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
384,Geraldton,AU,71.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
388,Deloraine,AU,68.0,overcast clouds,-41.5333,146.6667,Mountain View Country Inn
389,Mildura,AU,80.01,clear sky,-34.2,142.15,Mercure Hotel Mildura
390,Mangrol,IN,77.47,clear sky,21.1167,70.1167,Hotel The Royal Honours
391,Arraial Do Cabo,BR,76.01,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
392,Balabac,PH,82.67,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
393,Ambilobe,MG,72.12,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
394,Vila Velha,BR,69.8,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
395,Meiktila,MM,81.21,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
396,Santa Isabel Do Rio Negro,BR,74.03,overcast clouds,-0.4139,-65.0192,Hotel GSA
397,Bandarbeyla,SO,75.47,clear sky,9.4942,50.8122,JABIR HOTEL
400,Carauari,BR,74.43,overcast clouds,-4.8828,-66.8958,Hotel Fellip
401,Aswan,EG,75.56,clear sky,24.0934,32.907,Nuba Nile
402,Santa Fe,AR,79.0,overcast clouds,-31.6333,-60.7,Conquistador Hotel
404,Afogados Da Ingazeira,BR,73.45,overcast clouds,-7.7508,-37.6392,Hotel Brotas
408,Poum,NC,80.2,broken clouds,-20.2333,164.0167,Gîte kajeon
413,San Patricio,US,80.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
414,Kirakira,SB,84.4,overcast clouds,-10.4544,161.9205,SanBiz Lodge
417,Altoona,US,63.0,overcast clouds,40.5187,-78.3947,Wingate by Wyndham Altoona Downtown/Medical Center
419,Tramandai,BR,73.49,clear sky,-29.9847,-50.1336,Hotel Da Praia
420,La Libertad,EC,74.95,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
425,Pandan,PH,82.08,overcast clouds,14.0453,124.1694,Bonifacio Lodge
426,Padang,ID,77.0,light rain,-0.9492,100.3543,Mercure Padang
428,Nanga Eboko,CM,74.43,overcast clouds,4.6833,12.3667,Motel Papi Palace
429,Kudahuvadhoo,MV,82.0,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
433,Inyonga,TZ,61.9,few clouds,-6.7167,32.0667,Eden Rock Lodge
434,Pocatello,US,60.8,clear sky,42.8713,-112.4455,Clarion Inn Pocatello
437,Paka,MY,82.4,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
438,Linden,GY,77.0,few clouds,6.0,-58.3,Crimson Bat Hotel
441,Esperance,AU,62.6,scattered clouds,-33.8667,121.9,Hospitality Esperance
442,San Cristobal,VE,78.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
443,Kainantu,PG,64.49,overcast clouds,-6.2887,145.8655,Sylvester buku
446,Kaduqli,SD,81.91,few clouds,11.0167,29.7167,فندق الله جابو
448,Acapulco,MX,82.4,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
449,Binzhou,CN,60.01,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
451,Galesong,ID,75.2,scattered clouds,-5.3166,119.3661,Sapriadi Appy
452,Huarmey,PE,70.5,overcast clouds,-10.0681,-78.1522,Hotel Miramar
454,Manggar,ID,81.12,overcast clouds,-2.8833,108.2667,Guest Hotel
455,Sao Gabriel Da Cachoeira,BR,72.68,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
456,Taquara,BR,63.0,clear sky,-29.6506,-50.7806,Hostel na Rota da Serra Gaúcha
457,Makokou,GA,71.08,overcast clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
459,Pimentel,PE,71.6,broken clouds,-6.8367,-79.9342,Casona Del Muelle
460,Port Macquarie,AU,72.0,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
461,Fukue,JP,64.4,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
465,Pelotas,BR,72.0,clear sky,-31.7719,-52.3425,Hotéis Jacques Georges Tower
466,Warrnambool,AU,73.99,overcast clouds,-38.3833,142.4833,Lady Bay Resort
467,Antofagasta,CL,62.6,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
468,Kavaratti,IN,83.19,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
470,Hinundayan,PH,81.16,overcast clouds,10.3523,125.2506,Tolero's lodge
474,Inirida,CO,73.99,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
477,Labuhan,ID,81.9,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
478,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
479,Treinta Y Tres,UY,66.85,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
480,Bonanza,NI,72.03,overcast clouds,14.0289,-84.59100000000001,Edificio Administrativo HEMCO
481,Salur,IN,78.01,clear sky,18.5333,83.2167,Thammana Bhagavan
483,Lubao,PH,84.2,broken clouds,14.9167,120.55,Hacienda Gracia
484,Saint-Joseph,RE,78.8,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
486,Kisangani,CD,69.03,moderate rain,0.5167,25.2,Grand Ramela Hotel
488,Hobyo,SO,78.94,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
489,Acarau,BR,80.58,overcast clouds,-2.8856,-40.12,castelo pizzaria
490,Shaoguan,CN,66.65,broken clouds,24.8,113.5833,Shangcheng Hotel
492,Elizabeth City,US,62.6,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
494,Mitzic,GA,68.65,light rain,0.7821,11.549000000000001,Motel Emys
497,Yorkton,CA,60.8,clear sky,51.2167,-102.4677,Redwood Motel
498,Mayo,US,61.0,clear sky,38.8876,-76.5119,Resorts Resource Group International
500,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
502,Ternate,ID,83.64,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
504,Miles City,US,62.6,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
506,Tabuk,PH,78.87,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
507,Omboue,GA,78.44,overcast clouds,-1.5746,9.2618,Hotel Olako
511,Abu Zabad,SD,78.4,scattered clouds,12.35,29.25,حامد محمد نور
512,Maudaha,IN,80.76,clear sky,25.6833,80.1167,Chaudhary's home
516,Pemangkat,ID,80.98,scattered clouds,1.1667,108.9667,Kost H.Syamsuddin
517,Banda Aceh,ID,80.22,overcast clouds,5.5577,95.3222,Sulthan Hotel International
518,Leeton,AU,84.0,clear sky,-34.5667,146.4,Historic Hydro Motor Inn
521,Guerrero Negro,MX,67.42,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
523,Majene,ID,84.38,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
524,Miracatu,BR,68.68,overcast clouds,-24.2814,-47.4597,Hotel Ubirajara
527,Tema,GH,84.2,few clouds,5.667000000000001,-0.0166,Beulah Royale
528,Moron,AR,79.0,scattered clouds,-34.6534,-58.6198,Hotel Morón
529,Fare,PF,81.77,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
535,Kawalu,ID,78.78,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
539,Bowen,AU,84.2,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
540,Byron Bay,AU,71.6,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
543,Khon Buri,TH,84.0,scattered clouds,14.5254,102.2459,Bangchongjai Cottage
545,El Alto,PE,71.35,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
546,Moindou,NC,82.4,overcast clouds,-21.6924,165.67700000000002,Gite de la RYAWA
548,Kutum,SD,72.45,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
549,Luwuk,ID,79.32,light rain,-0.9516,122.7875,Hotel Santika Luwuk
551,Boyolangu,ID,79.66,overcast clouds,-8.1181,111.8935,Yos ega cv
552,Hualmay,PE,69.44,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
554,Flagstaff,US,64.99,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
557,Buenaventura,CO,66.0,overcast clouds,3.8801,-77.0312,La Casa Blanca Hotel
558,Key West,US,73.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
559,Russell,US,73.4,clear sky,32.3502,-85.1999,Macs
560,Kingston,JM,78.8,broken clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
561,Mount Gambier,AU,69.8,overcast clouds,-37.8333,140.7667,Commodore on the Park
563,Melfort,CA,62.6,clear sky,52.8667,-104.6177,Carra Valla Inn
566,Trujillo,PE,68.0,overcast clouds,-8.116,-79.03,Casa Andina Standard Trujillo Plaza
567,Whitianga,NZ,66.36,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
569,Gurh,IN,81.0,broken clouds,24.5167,81.5167,Scheduled Tribe Hostel
570,El Tocuyo,VE,64.4,scattered clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
571,Tuatapere,NZ,66.0,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
574,Namibe,AO,78.55,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
577,Johi,PK,76.41,clear sky,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
579,Ilebo,CD,70.79,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
580,Pokhara,NP,70.14,clear sky,28.2333,83.9833,Butterfly Lodge
581,Erzin,TR,63.0,clear sky,36.9559,36.2,Artemis Otel
585,Pergamino,AR,78.01,scattered clouds,-33.89,-60.5736,Hotel Fachinat
586,Camana,PE,70.41,overcast clouds,-16.6228,-72.7111,Hostal Morales
588,Calabozo,VE,84.79,overcast clouds,8.9242,-67.4293,Hotel Giardini
590,Viedma,AR,64.96,overcast clouds,-40.8135,-62.9967,Hotel Cristal
593,Menongue,AO,60.84,few clouds,-14.6585,17.691,Ritz Lauca
594,Witu,KE,80.6,light rain,-2.3889,40.4382,New City Guest House
599,Dori,BF,84.47,clear sky,14.0354,-0.0345,Hôtel Liptako
602,Qeshm,IR,69.8,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
605,Alugan,PH,80.67,overcast clouds,12.2188,125.4808,JM Lodge
