City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
27,Puerto Ayora,EC,2021-04-04 15:24:03,-0.7393,-90.3518,80.6,78,20,9.22
28,Luderitz,NA,2021-04-04 15:23:08,-26.6481,15.1594,79.36,52,1,25.88
29,Panuco,MX,2021-04-04 15:24:03,22.05,-98.1667,73.4,78,40,6.91
30,Vaini,TO,2021-04-04 15:24:03,-21.2,-175.2,75.2,83,75,5.75
31,Mataura,NZ,2021-04-04 15:24:04,-46.1927,168.8643,57.99,69,19,4.0
32,Ushuaia,AR,2021-04-04 15:19:05,-54.8,-68.3,42.8,75,20,6.91
33,Bengkulu,ID,2021-04-04 15:24:04,-3.8004,102.2655,78.04,84,100,10.04
34,Berekum,GH,2021-04-04 15:24:05,7.4534,-2.584,94.53,33,56,1.48
35,Georgetown,MY,2021-04-04 15:24:05,5.4112,100.3354,86.0,74,20,6.91
36,Lazarev,RU,2021-04-04 15:24:05,52.225,141.5131,10.63,81,7,6.42
37,Bluff,NZ,2021-04-04 15:24:06,-46.6,168.3333,57.99,69,62,4.0
38,Madang,PG,2021-04-04 15:24:06,-5.2246,145.7966,76.32,88,100,3.0
39,Tukrah,LY,2021-04-04 15:24:07,32.5341,20.5791,82.87,22,8,23.58
40,Walvis Bay,NA,2021-04-04 15:24:07,-22.9575,14.5053,87.8,30,16,14.97
41,Tandalti,SD,2021-04-04 15:24:08,13.0167,31.8667,98.69,10,31,17.67
42,Castro,BR,2021-04-04 15:24:08,-24.7911,-50.0119,70.39,59,69,6.91
43,Airai,TL,2021-04-04 15:24:09,-8.9266,125.4092,60.26,96,100,4.94
44,Sorland,NO,2021-04-04 15:24:09,67.667,12.6934,32.0,59,75,13.8
45,Oranjemund,NA,2021-04-04 15:24:09,-28.55,16.4333,67.82,82,13,18.79
46,Kapaa,US,2021-04-04 15:24:10,22.0752,-159.319,73.4,68,90,19.57
47,Port Augusta,AU,2021-04-04 15:24:10,-32.5,137.7667,68.0,88,0,11.5
48,Hermanus,ZA,2021-04-04 15:24:10,-34.4187,19.2345,71.01,80,89,1.99
49,Saskylakh,RU,2021-04-04 15:24:11,71.9167,114.0833,-25.89,100,20,3.0
50,Keti Bandar,PK,2021-04-04 15:24:08,24.1447,67.4497,83.53,59,0,12.53
51,Kijang,KR,2021-04-04 15:24:12,35.2442,129.2139,50.0,57,0,13.8
52,Severo-Kurilsk,RU,2021-04-04 15:24:12,50.6789,156.125,28.9,82,81,14.81
53,Mahebourg,MU,2021-04-04 15:24:12,-20.4081,57.7,80.6,78,20,8.05
54,Saint-Augustin,CA,2021-04-04 15:24:13,51.226,-58.6502,34.84,99,100,13.0
55,Saint-Philippe,RE,2021-04-04 15:24:13,-21.3585,55.7679,82.4,74,0,12.3
56,Puerto Del Rosario,ES,2021-04-04 15:24:14,28.5004,-13.8627,69.8,56,20,14.97
57,Kirakira,SB,2021-04-04 15:24:14,-10.4544,161.9205,79.77,87,85,6.2
58,Barrow,US,2021-04-04 15:24:14,71.2906,-156.7887,-11.2,70,1,12.66
