City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Carutapera,BR,-1.195,-46.02,77.61,88,93,5.32,overcast clouds
316,Mogadishu,SO,2.0371,45.3438,81.18,74,24,9.33,few clouds
317,Kiunga,PG,-6.1219,141.2906,72.93,99,100,1.23,overcast clouds
318,Cherskiy,RU,68.75,161.3,-0.49,87,100,4.18,overcast clouds
319,Gunjur,GM,13.2019,-16.7339,71.6,78,0,4.61,clear sky
320,Whitehorse,CA,60.7161,-135.0538,19.99,30,20,8.05,few clouds
321,Nanortalik,GL,60.1432,-45.2371,35.64,86,100,5.06,overcast clouds
322,Dinghai,CN,26.2847,119.7936,60.8,67,90,13.42,overcast clouds
323,Altamira,BR,-3.2033,-52.2064,76.33,84,100,1.77,overcast clouds
324,Itarema,BR,-2.9248,-39.9167,80.58,81,93,14.45,overcast clouds
325,Upernavik,GL,72.7868,-56.1549,-3.14,88,95,7.02,overcast clouds
326,Ponta Delgada,PT,37.7333,-25.6667,60.8,82,75,21.85,broken clouds
327,Bulawayo,ZW,-20.15,28.5833,53.46,72,8,8.01,clear sky
328,Tuy Hoa,VN,13.0833,109.3,80.62,74,58,4.52,broken clouds
329,Weligama,LK,5.9667,80.4167,75.33,84,9,3.36,clear sky
330,Savannakhet,LA,16.566,104.751,82.4,69,40,2.3,mist
331,Fairbanks,US,64.8378,-147.7164,19.4,53,1,1.79,clear sky
332,Sistranda,NO,63.7256,8.834,32.0,86,75,16.11,light snow
333,Half Moon Bay,US,37.4636,-122.4286,57.2,76,90,13.8,haze
334,Port Lincoln,AU,-34.7333,135.8667,79.86,31,100,13.62,overcast clouds
335,Port Blair,IN,11.6667,92.75,81.66,71,43,0.92,scattered clouds
336,Ponta Do Sol,PT,32.6667,-17.1,62.01,77,100,5.01,overcast clouds
337,Wewak,PG,-3.5534,143.6268,77.38,89,100,5.46,overcast clouds
338,Talnakh,RU,69.4865,88.3972,1.56,95,69,0.4,broken clouds
339,Oussouye,SN,12.485,-16.5469,75.2,78,0,4.61,clear sky
340,Tezu,IN,27.9167,96.1667,77.83,33,87,1.48,overcast clouds
341,Marawi,PH,7.9986,124.2928,81.0,85,61,1.99,broken clouds
342,Thinadhoo,MV,0.5333,72.9333,82.26,70,61,9.15,broken clouds
343,Mao,ES,39.8885,4.2658,44.6,57,0,3.44,clear sky
344,Visnes,NO,59.3556,5.2242,35.6,64,75,10.36,broken clouds
345,East London,ZA,-33.0153,27.9116,65.59,78,9,9.93,clear sky
346,Vardo,NO,70.3705,31.1107,32.29,73,59,3.27,broken clouds
347,Broome,US,42.2506,-75.833,57.2,44,1,5.75,clear sky
348,Vao,NC,-22.6667,167.4833,76.42,75,21,17.16,few clouds
349,Walker,US,30.7335,-95.5669,70.0,94,20,2.75,mist
350,Aasiaat,GL,68.7098,-52.8699,14.49,88,100,16.96,overcast clouds
351,Waitati,NZ,-45.75,170.5667,59.0,76,6,10.0,clear sky
352,Nileshwar,IN,12.25,75.1,80.46,82,98,2.62,overcast clouds
353,Oranjestad,AW,12.524,-70.027,80.6,78,40,18.41,scattered clouds
354,Rio Grande,BR,-32.035,-52.0986,72.0,87,2,1.01,clear sky
355,Avera,US,33.194,-82.5271,69.8,52,1,7.38,clear sky
356,Cap Malheureux,MU,-19.9842,57.6142,80.01,75,96,3.0,light rain
357,Severo-Kurilsk,RU,50.6789,156.125,31.6,89,100,50.31,overcast clouds
358,Ossora,RU,59.2353,163.0719,18.0,87,91,3.71,overcast clouds
359,Isetskoye,RU,56.4858,65.3226,35.69,98,100,10.8,overcast clouds
360,Hoquiam,US,46.9809,-123.8893,46.99,87,90,20.71,light rain
361,Tessalit,ML,20.1986,1.0114,79.56,11,100,8.68,overcast clouds
362,Komnina,GR,40.6,21.7833,42.01,80,99,14.97,overcast clouds
363,Makakilo City,US,21.3469,-158.0858,78.8,53,75,13.8,light rain
364,Barkot,IN,30.8167,78.2,54.36,45,0,6.53,clear sky
365,Montorio Al Vomano,IT,42.5831,13.6383,36.0,51,1,5.99,clear sky
366,Beringovskiy,RU,63.05,179.3167,4.35,83,14,8.3,few clouds
367,Seagoville,US,32.6396,-96.5383,72.0,26,1,12.66,clear sky
368,Hamilton,US,39.1834,-84.5333,73.4,53,1,4.61,clear sky
369,Micomeseng,GQ,2.1462,10.6164,69.21,99,99,1.36,light rain
370,Zyryanka,RU,65.75,150.85,11.14,84,92,10.71,overcast clouds
371,Xai-Xai,MZ,-25.0519,33.6442,69.26,92,94,5.66,overcast clouds
372,Tashtyp,RU,52.7939,89.8983,33.98,85,68,4.0,broken clouds
373,Longyearbyen,SJ,78.2186,15.6401,23.0,80,75,16.11,light snow
374,Shitanjing,CN,39.2342,106.3439,48.51,42,100,8.01,overcast clouds
375,Watertown,US,42.3709,-71.1828,50.0,76,1,3.31,clear sky
