City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Waipawa,NZ,2021-04-06 01:39:05,-41.4122,175.5153,64.99,82,57,10.36
166,Sugod,PH,2021-04-06 01:39:05,12.987,124.0805,80.83,77,68,11.23
167,Mar Del Plata,AR,2021-04-06 01:39:06,-38.0023,-57.5575,70.0,94,54,3.44
168,Pemangkat,ID,2021-04-06 01:39:06,1.1667,108.9667,83.44,69,67,5.84
169,Araouane,ML,2021-04-06 01:39:06,18.9048,-3.5265,78.85,11,34,9.64
170,Taucha,DE,2021-04-06 01:39:07,51.3833,12.4833,30.0,80,0,11.5
171,Rocha,UY,2021-04-06 01:34:13,-34.4833,-54.3333,63.7,97,5,5.19
172,Kamenka,RU,2021-04-06 01:39:07,51.3223,42.7678,36.0,91,100,7.99
173,Bowen,AU,2021-04-06 01:39:08,-20.0167,148.2333,84.2,70,75,8.05
174,Wajir,KE,2021-04-06 01:39:08,1.7471,40.0573,78.53,76,94,8.5
175,Kahului,US,2021-04-06 01:39:08,20.8947,-156.47,75.2,83,40,21.85
176,Mildura,AU,2021-04-06 01:39:09,-34.2,142.15,71.01,40,0,5.75
177,Padang,ID,2021-04-06 01:39:09,-0.9492,100.3543,77.0,94,20,1.14
178,Hofn,IS,2021-04-06 01:39:10,64.2539,-15.2082,20.53,57,4,15.99
179,Darhan,MN,2021-04-06 01:34:25,49.4867,105.9228,42.46,48,100,1.39
180,Bujaru,BR,2021-04-06 01:39:10,-1.515,-48.0447,80.6,78,0,10.36
181,Itarema,BR,2021-04-06 01:39:11,-2.9248,-39.9167,77.05,85,32,9.64
182,Pekan,MY,2021-04-06 01:39:11,3.4836,103.3996,78.8,89,20,4.36
183,Sovetskiy,RU,2021-04-06 01:39:12,61.3614,63.5842,27.37,88,52,10.4
184,Tiznit,MA,2021-04-06 01:39:12,29.5833,-9.5,56.28,81,100,2.68
185,Hambantota,LK,2021-04-06 01:39:12,6.1241,81.1185,77.0,100,86,2.3
186,Zhigansk,RU,2021-04-06 01:39:13,66.7697,123.3711,-6.3,90,59,4.23
187,Gunjur,GM,2021-04-06 01:39:13,13.2019,-16.7339,69.8,94,0,9.22
188,Beohari,IN,2021-04-06 01:39:14,24.05,81.3833,82.09,10,0,5.86
189,Durban,ZA,2021-04-06 01:39:14,-29.8579,31.0292,72.0,88,20,2.3
190,Kaitangata,NZ,2021-04-06 01:39:14,-46.2817,169.8464,69.01,40,2,15.01
191,Henties Bay,NA,2021-04-06 01:39:15,-22.116,14.2845,59.0,94,0,5.01
192,Port Shepstone,ZA,2021-04-06 01:39:15,-30.7414,30.455,68.92,77,80,7.81
193,Ust-Tsilma,RU,2021-04-06 01:39:15,65.441,52.1498,32.97,93,100,6.42
194,Heihe,CN,2021-04-06 01:39:16,50.2441,127.4902,32.0,47,40,17.9
195,Acapulco,MX,2021-04-06 01:39:16,16.8634,-99.8901,82.4,69,20,8.05
196,Savannah Bight,HN,2021-04-06 01:39:16,16.45,-85.85,75.2,88,90,14.43
197,Porto Novo,BJ,2021-04-06 01:39:17,6.4965,2.6036,84.2,84,40,14.97
198,Shevchenkove,UA,2021-04-06 01:39:17,49.6959,37.1735,35.6,93,12,6.71
199,Lerik,AZ,2021-04-06 01:39:17,38.7726,48.4128,48.2,81,5,13.31
200,Guarumal,PA,2021-04-06 01:39:18,8.35,-82.5333,82.4,74,20,2.3
201,Ashland,US,2021-04-06 01:38:56,40.8167,-82.2665,57.99,71,99,5.82
202,Tigil,RU,2021-04-06 01:39:18,57.8,158.6667,28.17,76,100,9.78
203,Jirkov,CZ,2021-04-06 01:39:19,50.4998,13.4477,26.01,80,18,25.01
204,Vardo,NO,2021-04-06 01:39:19,70.3705,31.1107,36.12,89,100,24.65
205,Salinas,US,2021-04-06 01:35:27,36.6777,-121.6555,55.4,67,90,10.36
206,Alta Floresta,BR,2021-04-06 01:39:20,-9.8756,-56.0861,72.66,94,97,2.66
207,Matay,EG,2021-04-06 01:39:20,28.419,30.7792,64.74,24,0,4.43
208,Concordia,AR,2021-04-06 01:39:20,-31.393,-58.0209,68.0,100,42,3.0
209,Sao Joao Da Barra,BR,2021-04-06 01:39:21,-21.6403,-41.0511,72.57,71,3,3.29
210,Bondo,CD,2021-04-06 01:39:21,3.8146,23.6866,73.54,70,93,2.17
211,Ayorou,NE,2021-04-06 01:39:21,14.7308,0.9174,81.66,6,1,6.44
212,Saint-Leu,RE,2021-04-06 01:39:22,-21.15,55.2833,78.8,65,0,8.05
213,Clyde River,CA,2021-04-06 01:39:22,70.4692,-68.5914,1.4,85,90,5.37
214,Mehran,IR,2021-04-06 01:39:22,33.1222,46.1646,48.2,46,0,4.61
215,Hasaki,JP,2021-04-06 01:39:02,35.7333,140.8333,54.0,62,75,19.57
216,Taoudenni,ML,2021-04-06 01:39:23,22.6783,-3.9836,77.13,9,0,9.53
217,Synya,RU,2021-04-06 01:39:23,65.3718,58.0387,19.27,95,33,4.94
218,Constitucion,CL,2021-04-06 01:39:22,-35.3333,-72.4167,56.35,90,100,4.9
219,High Rock,BS,2021-04-06 01:39:24,26.6208,-78.2833,62.6,72,0,8.05
220,Bumba,CD,2021-04-06 01:39:24,2.1833,22.4667,73.17,89,100,4.52
221,Ketchikan,US,2021-04-06 01:39:24,55.3422,-131.6461,39.7,96,100,5.82
222,Hirara,JP,2021-04-06 01:39:25,24.8,125.2833,75.2,60,40,12.66
223,Lorengau,PG,2021-04-06 01:39:25,-2.0226,147.2712,83.16,73,93,3.8
224,Burleson,US,2021-04-06 01:39:26,32.5421,-97.3208,73.0,52,1,6.91
225,Katsuura,JP,2021-04-06 01:39:26,35.1333,140.3,55.4,54,75,17.27
226,Hualmay,PE,2021-04-06 01:39:26,-11.0964,-77.6139,70.56,83,49,8.43
227,Geraldton,AU,2021-04-06 01:39:27,-28.7667,114.6,73.4,64,62,11.5
228,Chara,RU,2021-04-06 01:39:27,56.9064,118.2631,2.7,70,3,2.51
229,Ayan,RU,2021-04-06 01:39:28,56.45,138.1667,23.7,72,100,9.62
230,Medea,DZ,2021-04-06 01:39:28,36.2642,2.7539,50.0,93,20,2.3
231,Provideniya,RU,2021-04-06 01:39:28,64.3833,-173.3,5.0,72,90,22.37
232,Kidodi,TZ,2021-04-06 01:39:29,-7.6036,37.0044,70.7,95,86,2.57
233,Rakek,SI,2021-04-06 01:39:29,45.8133,14.3111,43.0,89,99,8.99
234,Klaksvik,FO,2021-04-06 01:39:29,62.2266,-6.589,26.6,74,40,36.82
235,Talnakh,RU,2021-04-06 01:39:30,69.4865,88.3972,25.97,96,100,9.06
236,Port Macquarie,AU,2021-04-06 01:39:30,-31.4333,152.9167,77.0,69,75,12.66
237,Tsaratanana,MG,2021-04-06 01:39:30,-16.7833,47.65,72.43,90,100,2.44
238,Port-Gentil,GA,2021-04-06 01:39:31,-0.7193,8.7815,81.88,78,100,6.38
239,Osypenko,UA,2021-04-06 01:39:31,46.9136,36.8253,36.0,100,2,13.0
240,Kawalu,ID,2021-04-06 01:39:32,-7.3817,108.2082,82.2,72,59,1.25
241,Motril,ES,2021-04-06 01:39:32,36.7507,-3.5179,54.0,89,3,2.59
242,Axim,GH,2021-04-06 01:39:32,4.8699,-2.2405,79.18,89,6,5.73
243,Balkanabat,TM,2021-04-06 01:39:33,39.5108,54.3671,62.47,30,2,9.24
244,Cayenne,GF,2021-04-06 01:39:33,4.9333,-52.3333,80.01,94,90,5.75
245,Nenjiang,CN,2021-04-06 01:39:34,49.1833,125.2167,32.0,24,1,20.33
246,Puri,IN,2021-04-06 01:39:34,19.8,85.85,78.8,94,20,4.61
247,Tiksi,RU,2021-04-06 01:39:34,71.6872,128.8694,-5.67,91,37,4.83
248,Ateli,IN,2021-04-06 01:39:35,28.1,76.2833,81.77,14,8,5.01
249,Ponta Do Sol,PT,2021-04-06 01:39:35,32.6667,-17.1,57.0,58,6,5.01
250,Richards Bay,ZA,2021-04-06 01:39:36,-28.783,32.0377,65.75,91,0,3.71
251,Alofi,NU,2021-04-06 01:39:36,-19.0595,-169.9187,82.4,78,100,8.05
252,Rudnichnyy,RU,2021-04-06 01:39:36,59.617,52.4703,29.8,96,95,6.15
253,Rio Verde De Mato Grosso,BR,2021-04-06 01:39:37,-18.9181,-54.8442,79.81,43,100,2.77
254,Barrow,US,2021-04-06 01:39:37,71.2906,-156.7887,-0.4,71,90,11.5
255,Vysokopillya,UA,2021-04-06 01:39:37,47.4919,33.5306,35.6,93,0,8.95
256,Laje,BR,2021-04-06 01:39:38,-10.1833,-40.9667,72.64,79,87,9.62
